,movie_name,director_name,popularity
7341,No Way Out,Roger Donaldson,27
7342,Saved!,Brian Dannelly,21
7343,Hustle & Flow,Craig Brewer,22
7344,Spies Like Us,John Landis,23
7345,Phenomena,Dario Argento,22
7346,Spawn,Mark A.Z. Dippé,25
7347,The Young Master,Jackie Chan,21
7348,The Perfect Man,Mark Rosman,23
7349,Funny Farm,George Roy Hill,16
7350,My Sassy Girl,Yann Samuell,15
7351,The Return of the Living Dead,Dan O'Bannon,25
7352,Ginger Snaps,John Fawcett,24
7353,Another Way,Károly Makk,15
7354,Under Suspicion,Stephen Hopkins,25
7355,The Juror,Brian Gibson,22
7356,Psycho II,Richard Franklin,28
7357,The Corporation,Mark Achbar,17
7358,The Corporation,Jennifer Abbott,17
7359,Der Schatz im Silbersee,Harald Reinl,16
7360,The Magic Flute,Ingmar Bergman,19
7361,Dabangg 2,Arbaaz Khan,16
7362,El Bruto,Luis Buñuel,15
7363,360,Fernando Meirelles,20
7364,Sin City: A Dame to Kill For,Robert Rodriguez,37
7365,Sin City: A Dame to Kill For,Frank Miller,37
7366,The Station Agent,Tom McCarthy,19
7367,I Spit on Your Grave,Steven R. Monroe,22
7368,I mostri,Dino Risi,18
7369,Tom Horn,William Wiard,16
7370,Hum Tumhare Hain Sanam,K. S. Adhiyaman,16
7371,The Emperor Waltz,Billy Wilder,21
7372,The Emperor Waltz,Charles Brackett,21
7373,Dancing Lady,Robert Z. Leonard,15
7374,Wild Reeds,André Téchiné,22
7375,Narc,Joe Carnahan,18
7376,Navy SEALs,Lewis Teague,15
7377,Nobody's Fool,Robert Benton,22
7378,Heathers,Michael Lehmann,27
7379,Green Fire,Andrew Marton,15
7380,Kaal,Soham Shah,15
7381,The Party at Kitty and Stud's,Morton M. Lewis,17
7382,Lovers and Other Strangers,Cy Howard,19
7383,The Lords of Flatbush,Martin Davidson,18
7384,The Lords of Flatbush,Stephen Verona,18
7385,Cannonball,Paul Bartel,16
7386,The Opening of Misty Beethoven,Radley Metzger,16
7387,The Scalphunters,Sydney Pollack,16
7388,The Namesake,Mira Nair,25
7389,The Saga of Gosta Berling,Mauritz Stiller,18
7390,In This Our Life,John Huston,17
7391,Suez,Allan Dwan,15
7392,Down Periscope,David S. Ward,20
7393,Lassie,Charles Sturridge,17
7394,"Enemies, a Love Story",Paul Mazursky,18
7395,Humanité,Bruno Dumont,15
7396,Nine Lives,Arne Skouen,16
7397,Nancy Drew,Andrew Fleming,24
7398,Felicia's Journey,Atom Egoyan,15
7399,Qivitoq,Erik Balling,15
7400,Shadowlands,Richard Attenborough,20
7401,Fur,Steven Shainberg,18
7402,Nine Queens,Fabián Bielinsky,23
7403,Shirley Valentine,Lewis Gilbert,15
7404,The Bridge of San Luis Rey,Charles Brabin,17
7405,Cinderella Liberty,Mark Rydell,16
7406,American Psycho,Mary Harron,51
7407,Let Joy Reign Supreme,Bertrand Tavernier,16
7408,Camp Nowhere,Jonathan Prince,17
7409,The Hard Corps,Sheldon Lettich,21
7410,Emily Brontë's Wuthering Heights,Peter Kosminsky,20
7411,The Legend of Frenchie King,Christian-Jaque,17
7412,The Legend of Frenchie King,Guy Casaril,17
7413,Roger & Me,Michael Moore,20
7414,Lucky Numbers,Nora Ephron,16
7415,White Christmas,Michael Curtiz,25
7416,White Christmas,Robert Alton,25
7417,The Set-Up,Robert Wise,18
7418,Thunderheart,Michael Apted,17
7419,Hallelujah!,King Vidor,17
7420,Maniac Cop,William Lustig,23
7421,Sangam,Raj Kapoor,16
7422,Save the Last Dance 2,David Petrarca,16
7423,The Fortune Cookie,Billy Wilder,26
7424,Sahara,Andrew V. McLaglen,15
7425,The Rains Came,Clarence Brown,15
7426,The Raid,Gareth Evans,30
7427,Hammett,Wim Wenders,15
7428,Stormy Monday,Mike Figgis,17
7429,Slacker,Richard Linklater,18
7430,The Waterboy,Frank Coraci,24
7431,The Change-Up,David Dobkin,28
7432,A Farewell to Arms,Frank Borzage,28
7433,Hannah Arendt,Margarethe von Trotta,21
7434,The Big Restaurant,Jacques Besnard,20
7435,Shall We Dance,Mark Sandrich,18
7436,Hannibal,Carlo Ludovico Bragaglia,18
7437,Hannibal,Edgar G. Ulmer,18
7438,Legally Blondes,Savage Steve Holland,16
7439,Miss Pettigrew Lives for a Day,Bharat Nalluri,21
7440,Twelve,Joel Schumacher,19
7441,Piranha II: The Spawning,James Cameron,20
7442,Piranha II: The Spawning,Ovidio G. Assonitis,20
7443,In & Out,Frank Oz,27
7444,The Young Lions,Edward Dmytryk,30
7445,Futureworld,Richard T. Heffron,18
7446,The Preacher's Wife,Penny Marshall,24
7447,A Coffee in Berlin,Jan-Ole Gerster,17
7448,The Lower Depths,Akira Kurosawa,23
7449,I Love You to Death,Lawrence Kasdan,21
7450,Southland Tales,Richard Kelly,24
7451,Tarzan Finds a Son!,Richard Thorpe,19
7452,Ladies of the Chorus,Phil Karlson,18
7453,"Turn Me On, Dammit!",Jannicke Systad Jacobsen,16
7454,The Mosquito Coast,Peter Weir,27
7455,Germinal,Claude Berri,22
7456,Domestic Disturbance,Harold Becker,22
7457,Rock 'n' Roll High School,Allan Arkush,18
7458,The Thomas Crown Affair,Norman Jewison,27
7459,Wild River,Elia Kazan,22
7460,Primary Colors,Mike Nichols,26
7461,Taking Lives,D.J. Caruso,31
7462,Yossi & Jagger,Eytan Fox,20
7463,She's the One,Edward Burns,24
7464,Yamakasi,Ariel Zeitoun,24
7465,Velvet Goldmine,Todd Haynes,27
7466,I Love Trouble,Charles Shyer,23
7467,O. Henry's Full House,Howard Hawks,21
7468,O. Henry's Full House,Henry Koster,21
7469,O. Henry's Full House,Henry King,21
7470,O. Henry's Full House,Jean Negulesco,21
7471,O. Henry's Full House,Henry Hathaway,21
7472,O Pagador de Promessas,Anselmo Duarte,21
7473,Return to Paradise,Joseph Ruben,18
7474,Open Hearts,Susanne Bier,19
7475,Underworld,Josef von Sternberg,27
7476,Elstree Calling,Jack Hulbert,17
7477,Elstree Calling,André Charlot,17
7478,Elvis Has Left the Building,Joel Zwick,22
7479,Elvis: That's the Way It Is,Denis Sanders,16
7480,Kate & Leopold,James Mangold,33
7481,Everyone Says I Love You,Woody Allen,33
7482,The Heart is a Lonely Hunter,Robert Ellis Miller,21
7483,The Shipping News,Lasse Hallström,27
7484,Robin Hood: Men in Tights,Mel Brooks,34
7485,Sarfarosh,John Matthew Matthan,16
7486,Moonstruck,Norman Jewison,34
7487,Tarzan and His Mate,Jack Conway,26
7488,Tarzan and His Mate,Cedric Gibbons,26
7489,Boiler Room,Ben Younger,19
7490,The Turin Horse,Béla Tarr,18
7491,The Turin Horse,Ágnes Hranitzky,18
7492,Ring 0: Birthday,Noroi Tsuruta,16
7493,Crazy/Beautiful,John Stockwell,16
7494,Exorcist: The Beginning,Renny Harlin,26
7495,Emma,Douglas McGrath,26
7496,My Boss's Daughter,David Zucker,21
7497,Somewhere,Sofia Coppola,26
7498,The Heartbreak Kid,Elaine May,19
7499,Hostel: Part III,Scott Spiegel,22
7500,The Cold Light of Day,Mabrouk El Mechri,27
7501,The Cold Light of Day,Kevin Mann,27
7502,Sonatine,Takeshi Kitano,16
7503,Employee of the Month,Greg Coolidge,15
7504,Pushing Tin,Mike Newell,27
7505,Courage Under Fire,Edward Zwick,29
7506,En Soap,Pernille Fischer Christensen,15
7507,Skyline,Greg Strause,27
7508,Skyline,Colin Strause,27
7509,Rich and Strange,Alfred Hitchcock,19
7510,The Sea of Grass,Elia Kazan,17
7511,Two Men in Town,José Giovanni,17
7512,Starman,John Carpenter,29
7513,Farinelli,Gérard Corbiau,23
7514,Angels of the Universe,Friðrik Þór Friðriksson,17
7515,Drunken Angel,Akira Kurosawa,33
7516,Escape from Planet Earth,Cal Brunker,26
7517,Ilya Muromets,Aleksandr Ptushko,19
7518,Twitch of the Death Nerve,Mario Bava,20
7519,Cloak and Dagger,Fritz Lang,16
7520,Empire of Passion,Nagisa Ōshima,16
7521,Just Cause,Arne Glimcher,20
7522,Simple Simon,Andreas Öhman,15
7523,Deewana,Raj Kanwar,25
7524,Imaginary Heroes,Dan Harris,15
7525,The Nightingale's Prayer,Henry Barakat,16
7526,Impostor,Gary Fleder,16
7527,The Mangler,Tobe Hooper,16
7528,The Shoes of the Fisherman,Michael Anderson,22
7529,Needful Things,Fraser Clarke Heston,20
7530,The Card Player,Dario Argento,15
7531,"Life, and Nothing More...",Abbas Kiarostami,15
7532,My Best Friend,Patrice Leconte,17
7533,Spun,Jonas Åkerlund,16
7534,Walkabout,Nicolas Roeg,22
7535,My Life as a Dog,Lasse Hallström,24
7536,"Gandhi, My Father",Feroz Abbas Khan,19
7537,Flipped,Rob Reiner,24
7538,Scarecrow,Jerry Schatzberg,27
7539,Dishonored,Josef von Sternberg,20
7540,My Dinner with Andre,Louis Malle,18
7541,Step Brothers,Adam McKay,29
7542,White Nights,Taylor Hackford,21
7543,Decision Before Dawn,Anatole Litvak,18
7544,Dying Young,Joel Schumacher,24
7545,Stranger Than Paradise,Jim Jarmusch,30
7546,The Bad and the Beautiful,Vincente Minnelli,33
7547,Breach,Billy Ray,19
7548,The Box,Richard Kelly,25
7549,Strictly Ballroom,Baz Luhrmann,23
7550,Someone Like You,Tony Goldwyn,20
7551,"Now, Voyager",Irving Rapper,36
7552,Mon Oncle,Jacques Tati,36
7553,Airport '77,Jerry Jameson,24
7554,The Nanny Diaries,Shari Springer Berman,26
7555,The Nanny Diaries,Robert Pulcini,26
7556,If....,Lindsay Anderson,28
7557,The Glass House,Daniel Sackheim,20
7558,Copying Beethoven,Agnieszka Holland,30
7559,Valmont,Miloš Forman,21
7560,Rushmore,Wes Anderson,32
7561,Idiocracy,Mike Judge,39
7562,Niagara,Henry Hathaway,30
7563,Klute,Alan J. Pakula,31
7564,Muriel's Wedding,P. J. Hogan,23
7565,Let's Make Love,George Cukor,26
7566,Salvador,Oliver Stone,29
7567,St. Elmo's Fire,Joel Schumacher,29
7568,Today You Die,Don E. Fauntleroy,16
7569,The Killer Inside Me,Michael Winterbottom,23
7570,The Last Relic,Grigori Kromanov,18
7571,Red-Headed Woman,Jack Conway,16
7572,Shadows of Forgotten Ancestors,Sergei Parajanov,33
7573,Firewalker,J. Lee Thompson,22
7574,A Nightmare on Elm Street 5: The Dream Child,Stephen Hopkins,32
7575,Mother India,Mehboob Khan,34
7576,Four Brothers,John Singleton,31
7577,Splendor in the Grass,Elia Kazan,33
7578,I as in Icarus,Henri Verneuil,16
7579,Bridge of Dragons,Isaac Florentine,15
7580,Silkwood,Mike Nichols,33
7581,Harvey,Henry Koster,36
7582,The Trouble with Harry,Alfred Hitchcock,36
7583,Algiers,John Cromwell,22
7584,The Art of Getting By,Gavin Wiesen,31
7585,Your Highness,David Gordon Green,28
7586,Intergirl,Pyotr Todorovsky,23
7587,Kin-dza-dza!,Georgiy Daneliya,30
7588,Her Alibi,Bruce Beresford,15
7589,Taking Care of Business,Arthur Hiller,17
7590,Taste the Blood of Dracula,Peter Sasdy,24
7591,Warrior,Gavin O'Connor,38
7592,Le Cercle rouge,Jean-Pierre Melville,32
7593,Gloria,Sidney Lumet,15
7594,Old Gringo,Luis Puenzo,16
7595,Sabata,Gianfranco Parolini,21
7596,Gacy,Clive Saunders,15
7597,Down Argentine Way,Irving Cummings,18
7598,Looking for Richard,Al Pacino,16
7599,Brainstorm,Douglas Trumbull,16
7600,Tales of Ordinary Madness,Marco Ferreri,15
7601,The Other Sister,Garry Marshall,15
7602,Born into Brothels,Zana Briski,15
7603,Gasland,Josh Fox,16
7604,Love Aaj Kal,Imtiaz Ali,18
7605,Wrong Turn 4: Bloody Beginnings,Declan O'Brien,24
7606,Hum Aapke Hain Koun..!,Sooraj R. Barjatya,24
7607,The Woman in the Window,Fritz Lang,26
7608,Les liaisons dangereuses,Roger Vadim,16
7609,Beyond a Reasonable Doubt,Peter Hyams,15
7610,Inside,Julien Maury,16
7611,Inside,Alexandre Bustillo,16
7612,Inside I'm Dancing,Damien O'Donnell,17
7613,Instinct,Jon Turteltaub,19
7614,The Wraith,Mike Marvin,16
7615,The United States of Leland,Matthew Ryan Hoge,17
7616,Sin Nombre,Cary Joji Fukunaga,17
7617,Into the Sun,Christopher Morrison,17
7618,Invaders from Mars,William Cameron Menzies,15
7619,Pirates,Roman Polanski,18
7620,The Elementary School,Jan Svěrák,16
7621,Look Who's Talking Now,Tom Ropelewski,22
7622,Horsemen,Jonas Åkerlund,21
7623,Goodbye Again,Anatole Litvak,18
7624,Tintin and the Golden Fleece,Jean-Jacques Vierne,16
7625,Rosencrantz & Guildenstern Are Dead,Tom Stoppard,21
7626,Spring,Arvo Kruusement,16
7627,I Never Sang for My Father,Gilbert Cates,18
7628,The Affairs of Cellini,Gregory La Cava,18
7629,The Devil and Miss Jones,Sam Wood,15
7630,Come See the Paradise,Alan Parker,15
7631,Wake Island,John Farrow,17
7632,The Last House on the Left,Dennis Iliadis,21
7633,The Love Parade,Ernst Lubitsch,23
7634,Diary of a Mad Housewife,Frank Perry,16
7635,I Shot Andy Warhol,Mary Harron,17
7636,The Girl with the Pistol,Mario Monicelli,16
7637,Wrong Turn 3: Left for Dead,Declan O'Brien,27
7638,Harakiri,Masaki Kobayashi,22
7639,The Great Raid,John Dahl,17
7640,Hard Rain,Mikael Salomon,18
7641,Crime Story,Jackie Chan,18
7642,Crime Story,Kirk Wong,18
7643,Hardball,Brian Robbins,18
7644,The Hottie and the Nottie,Tom Putnam,17
7645,Harley Davidson and the Marlboro Man,Simon Wincer,21
7646,"The Karate Kid, Part III",John G. Avildsen,28
7647,The Docks of New York,Josef von Sternberg,19
7648,Pump Up the Volume,Allan Moyle,15
7649,Rangeela,Ram Gopal Varma,16
7650,The Naked City,Jules Dassin,26
7651,Jo,Jean Girault,17
7652,Admission,Paul Weitz,18
7653,Hatchet II,Adam Green,15
7654,It Happened at the World's Fair,Norman Taurog,15
7655,Christmas Story,Juha Wuolijoki,18
7656,Mickey Blue Eyes,Kelly Makin,23
7657,Withnail and I,Bruce Robinson,20
7658,The Red Meadows,Bodil Ipsen,16
7659,The Red Meadows,Lau Lauritzen,16
7660,Deal of the Century,William Friedkin,15
7661,The Exterminator,James Glickenhaus,16
7662,The Roof,Vittorio De Sica,15
7663,Broken City,Allen Hughes,26
7664,Dangerous Years,Arthur Pierson,16
7665,Texasville,Peter Bogdanovich,15
7666,Romeo and Juliet,Carlo Carlei,16
7667,From the Manger to the Cross,Sidney Olcott,15
7668,Ender's Game,Gavin Hood,38
7669,Ali G Indahouse,Mark Mylod,22
7670,Kick-Ass 2,Jeff Wadlow,37
7671,The Girl Who Kicked the Hornets' Nest,Daniel Alfredson,26
7672,Loving You,Hal Kanter,17
7673,Loving You,Herbert Baker,17
7674,JCVD,Mabrouk El Mechri,24
7675,"War, Inc.",Joshua Seftel,20
7676,Man on Wire,James Marsh,22
7677,Run Fatboy Run,David Schwimmer,18
7678,Deceived,Damian Harris,18
7679,The Karate Kid Part II,John G. Avildsen,31
7680,Fire Down Below,Félix Enríquez Alcalá,24
7681,Fire,Deepa Mehta,24
7682,Fired Up!,Will Gluck,15
7683,Firefox,Clint Eastwood,28
7684,Norma Rae,Martin Ritt,30
7685,My Life in Ruins,Donald Petrie,25
7686,Melvin and Howard,Jonathan Demme,17
7687,Tommy,Ken Russell,23
7688,Funny Lady,Herbert Ross,19
7689,Sleuth,Joseph L. Mankiewicz,28
7690,The Private Lives of Elizabeth and Essex,Michael Curtiz,24
7691,Raising Cain,Brian De Palma,21
7692,King David,Bruce Beresford,18
7693,Desperately Seeking Susan,Susan Seidelman,28
7694,Tombstone,George P. Cosmatos,35
7695,Tombstone,Kevin Jarre,35
7696,My Girl 2,Howard Zieff,24
7697,Mysterious Skin,Gregg Araki,26
7698,No Escape,Martin Campbell,19
7699,Tucker: The Man and His Dream,Francis Ford Coppola,21
7700,National Lampoon's Christmas Vacation,Jeremiah S. Chechik,26
7701,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,33
7702,Picnic at Hanging Rock,Peter Weir,33
7703,Alatriste,Agustín Díaz Yanes,27
7704,Even Cowgirls Get the Blues,Gus Van Sant,24
7705,Throw Momma from the Train,Danny DeVito,30
7706,Raising Helen,Garry Marshall,24
7707,Hamlet,Franco Zeffirelli,25
7708,Tigerland,Joel Schumacher,25
7709,Moby Dick,John Huston,26
7710,Snake Eyes,Brian De Palma,29
7711,McCabe & Mrs. Miller,Robert Altman,29
7712,Never on Sunday,Jules Dassin,28
7713,Reflections in a Golden Eye,John Huston,22
7714,Mimic,Guillermo del Toro,27
7715,Tequila Sunrise,Robert Towne,23
7716,White Hunter Black Heart,Clint Eastwood,27
7717,New Jack City,Mario Van Peebles,25
7718,Mrs Henderson Presents,Stephen Frears,24
7719,Kiss Kiss Bang Bang,Shane Black,32
7720,Belle Époque,Fernando Trueba,28
7721,All Things Fair,Bo Widerberg,19
7722,The Spirit of St. Louis,Billy Wilder,21
7723,My Life,Bruce Joel Rubin,16
7724,Jabberwocky,Terry Gilliam,21
7725,Kickboxer 2,Albert Pyun,15
7726,The Thief,Pavel Chukhray,21
7727,Divided We Fall,Jan Hřebejk,15
7728,Ted Bundy,Matthew Bright,18
7729,Outside the Law,Rachid Bouchareb,17
7730,Monsieur Lazhar,Philippe Falardeau,20
7731,Surviving Picasso,James Ivory,16
7732,Jane Eyre,Franco Zeffirelli,21
7733,The Quatermass Xperiment,Val Guest,15
7734,Jason Goes to Hell: The Final Friday,Adam Marcus,28
7735,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",Chantal Akerman,26
7736,Portrait of Jennie,William Dieterle,19
7737,Jesse James,Henry King,21
7738,Jesse James,Otto Brower,21
7739,Jesse James,Irving Cummings,21
7740,The Big Combo,Joseph H. Lewis,19
7741,Cahill U.S. Marshal,Andrew V. McLaglen,19
7742,A Guy Thing,Chris Koch,15
7743,Swimming Pool,François Ozon,25
7744,Land of the Dead,George A. Romero,25
7745,Killing Zoe,Roger Avary,17
7746,Kes,Ken Loach,22
7747,Inherit the Wind,Stanley Kramer,23
7748,Where the Heart Is,Matt Williams,27
7749,Har Dil Jo Pyar Karega,Raj Kanwar,15
7750,Only Angels Have Wings,Howard Hawks,27
7751,L'avare,Louis de Funès,16
7752,L'avare,Jean Girault,16
7753,Children of the Corn 666: Isaac's Return,Kari Skogland,16
7754,Main Hoon Na,Farah Khan,27
7755,National Security,Dennis Dugan,27
7756,Opening Night,John Cassavetes,19
7757,Without Evidence,Gill Dennis,15
7758,Jack and Jill,Dennis Dugan,30
7759,Red Tails,Anthony Hemingway,25
7760,Hell's Kitchen,Tony Cinciripini,16
7761,The Bubble,Eytan Fox,19
7762,Thunderbirds,Jonathan Frakes,22
7763,Going the Distance,Nanette Burstein,22
7764,Take Me Home Tonight,Michael Dowse,20
7765,The Girl Can't Help It,Frank Tashlin,18
7766,Bring It On: In It to Win It,Steve Rash,18
7767,No One Writes to the Colonel,Arturo Ripstein,15
7768,Tremors 3: Back to Perfection,Brent Maddock,18
7769,Arn – The Knight Templar,Peter Flinth,25
7770,The Band Wagon,Vincente Minnelli,24
7771,Death at a Funeral,Neil LaBute,17
7772,Stone,John Curran,23
7773,Wild Target,Jonathan Lynn,17
7774,Moulin Rouge,John Huston,31
7775,Sorority Row,Stewart Hendler,23
7776,It's Kind of a Funny Story,Ryan Fleck,21
7777,Hatchet,Adam Green,19
7778,Snow White,Pablo Berger,17
7779,Houseboat,Melville Shavelson,15
7780,Hawaii,George Roy Hill,20
7781,The Big Bounce,George Armitage,24
7782,Un singe en hiver,Henri Verneuil,17
7783,Head of State,Chris Rock,17
7784,Headhunters,Morten Tyldum,20
7785,Heidi,Allan Dwan,15
7786,My Sweet Little Village,Jiří Menzel,22
7787,Phantasm IV: Oblivion,Don Coscarelli,16
7788,Santa Fe Trail,Michael Curtiz,22
7789,Mera Naam Joker,Raj Kapoor,15
7790,"All This, and Heaven Too",Anatole Litvak,21
7791,Hellbound,Aaron Norris,15
7792,Hellraiser: Deader,Rick Bota,21
7793,Hellraiser: Hellworld,Rick Bota,21
7794,Jesus Camp,Heidi Ewing,18
7795,Jesus Camp,Rachel Grady,18
7796,Right Cross,John Sturges,15
7797,The Iceman,Ariel Vromen,19
7798,"To Wong Foo, Thanks for Everything! Julie Newmar",Beeban Kidron,27
7799,Kon-Tiki,Joachim Rønning,29
7800,Kon-Tiki,Espen Sandberg,29
7801,Swades,Ashutosh Gowariker,25
7802,Walk on Water,Eytan Fox,17
7803,Marlowe,Paul Bogart,16
7804,The Losers,Sylvain White,29
7805,Forget Paris,Billy Crystal,16
7806,Borsalino & Co.,Jacques Deray,16
7807,Early Summer,Yasujirō Ozu,18
7808,Mac and Me,Stewart Raffill,16
7809,L.I.E.,Michael Cuesta,19
7810,Jin-Roh: The Wolf Brigade,Hiroyuki Okiura,18
7811,Land of the Pharaohs,Howard Hawks,24
7812,Land of the Pharaohs,Paul Helmick,24
7813,Joe Dirt,Dennie Gordon,22
7814,Lord Jim,Richard Brooks,21
7815,The Way of the Gun,Christopher McQuarrie,20
7816,Joan of Arc,Victor Fleming,24
7817,The Fog,Rupert Wainwright,23
7818,The Long Riders,Walter Hill,20
7819,Tiger Bay,J. Lee Thompson,15
7820,Toto the Hero,Jaco Van Dormael,18
7821,Perdita Durango,Álex de la Iglesia,16
7822,Something in the Air,Olivier Assayas,17
7823,Scooby-Doo! and the Witch's Ghost,Jim Stenstrum,16
7824,The Big Hit,Kirk Wong,17
7825,Tea with Mussolini,Franco Zeffirelli,21
7826,Timeline,Richard Donner,25
7827,Carnal Knowledge,Mike Nichols,26
7828,Mo' Better Blues,Spike Lee,19
7829,Mr. Blandings Builds His Dream House,H. C. Potter,16
7830,It's Kind of a Funny Story,Anna Boden,21
7831,Suspicion,Alfred Hitchcock,40
7832,Are We Done Yet?,Steve Carr,20
7833,Black Bread,Agustí Villaronga,20
7834,According to Greta,Nancy Bardawil,17
7835,Passengers,Rodrigo García,25
7836,The Harder They Fall,Mark Robson,27
7837,The Unborn,David S. Goyer,23
7838,M. Butterfly,David Cronenberg,22
7839,Godzilla vs. Destoroyah,Takao Okawara,18
7840,Godzilla vs. Biollante,Kazuki Ōmori,22
7841,Who Killed the Electric Car?,Chris Paine,19
7842,If Lucy Fell,Eric Schaeffer,15
7843,Geronimo: An American Legend,Walter Hill,26
7844,Gerry,Gus Van Sant,21
7845,Klass,Ilmar Raag,28
7846,Human Nature,Michel Gondry,21
7847,Rogue,Greg McLean,25
7848,Mrs. Brown,John Madden,21
7849,Topkapi,Jules Dassin,34
7850,White Nights,Luchino Visconti,21
7851,Manny & Lo,Lisa Krueger,16
7852,Vatel,Roland Joffé,22
7853,The Ages of Lulu,Bigas Luna,17
7854,Lie with Me,Clement Virgo,15
7855,Joan the Woman,Cecil B. DeMille,17
7856,Taxi,Tim Story,19
7857,Deep Red,Dario Argento,28
7858,Death Rides a Horse,Giulio Petroni,22
7859,Looking for Eric,Ken Loach,18
7860,The Ipcress File,Sidney J. Furie,26
7861,In the Land of Women,Jon Kasdan,23
7862,The Return of Ringo,Duccio Tessari,15
7863,Playing by Heart,Willard Carroll,24
7864,Ryan's Daughter,David Lean,31
7865,Lust for Life,Vincente Minnelli,35
7866,Lust for Life,George Cukor,35
7867,The Virgin Suicides,Sofia Coppola,33
7868,Hilary and Jackie,Anand Tucker,22
7869,Live Flesh,Pedro Almodóvar,25
7870,Nashville,Robert Altman,30
7871,Captain Corelli's Mandolin,John Madden,29
7872,Air Force,Howard Hawks,16
7873,Winchester '73,Anthony Mann,30
7874,The General's Daughter,Simon West,27
7875,Last Man Standing,Walter Hill,28
7876,Captain Blood,Michael Curtiz,31
7877,The Ox-Bow Incident,William Augustus Wellman,28
7878,The Ox-Bow Incident,James Tinling,28
7879,Cat People,Paul Schrader,21
7880,Happiness,Todd Solondz,24
7881,Wrong Is Right,Richard Brooks,15
7882,Hang 'Em High,Ted Post,26
7883,Josh,Mansoor Khan,20
7884,Postcards from the Edge,Mike Nichols,28
7885,Flash Gordon,Mike Hodges,28
7886,Jason X,James Isaac,27
7887,Wayne's World 2,Stephen Surjik,25
7888,Music Box,Costa-Gavras,26
7889,Sitting Pretty,Walter Lang,15
7890,Warlock,Steve Miner,17
7891,Flesh and Blood,Paul Verhoeven,23
7892,Fletch,Michael Ritchie,19
7893,Earth vs. the Flying Saucers,Ray Harryhausen,20
7894,Earth vs. the Flying Saucers,Fred F. Sears,20
7895,The Negotiator,F. Gary Gray,29
7896,Flipper,Alan Shapiro,19
7897,Waterloo,Sergei Bondarchuk,29
7898,Possessed,Curtis Bernhardt,17
7899,Prince Valiant,Henry Hathaway,17
7900,Herbie Rides Again,Robert Stevenson,17
7901,Look Back in Anger,Tony Richardson,17
7902,Stella Dallas,King Vidor,21
7903,Hobson's Choice,David Lean,16
7904,She,Robert Day,15
7905,Manpower,Raoul Walsh,15
7906,A Good Old Fashioned Orgy,Alex Gregory,16
7907,A Daughter of the Gods,Herbert Brenon,16
7908,Paisà,Roberto Rossellini,24
7909,Taras Bulba,Vladimir Bortko,22
7910,Small Change,François Truffaut,17
7911,Operation Thunderbolt,Menahem Golan,16
7912,Captain America: The Winter Soldier,Anthony Russo,68
7913,Captain America: The Winter Soldier,Joe Russo,68
7914,Sitcom,François Ozon,18
7915,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,28
7916,You'll Never Get Rich,Sidney Lanfield,15
7917,The Dreamlife of Angels,Erick Zonca,19
7918,Wanderlust,David Wain,30
7919,Midway,Jack Smight,19
7920,Prince of the City,Sidney Lumet,16
7921,Joy Ride 2: Dead Ahead,Louis Morneau,17
7922,Judgment Night,Stephen Hopkins,16
7923,Seed,Uwe Boll,15
7924,The Wedding March,Erich von Stroheim,15
7925,Junior Bonner,Sam Peckinpah,15
7926,Juno and the Paycock,Alfred Hitchcock,18
7927,K2,Franc Roddam,16
7928,Nothing but the Truth,Rod Lurie,16
7929,Shoah,Claude Lanzmann,23
7930,Kaboom,Gregg Araki,17
7931,The Witches,Nicolas Roeg,30
7932,Hick,Derick Martini,19
7933,Out of Reach,Po-Chih Leong,18
7934,Dr. Terror's House of Horrors,Freddie Francis,15
7935,Higher Learning,John Singleton,15
7936,Highlander: Endgame,Douglas Aarniokoski,19
7937,Alibi,Roland West,23
7938,Smilin' Through,Sidney Franklin,18
7939,State Fair,Henry King,21
7940,The Sheltering Sky,Bernardo Bertolucci,26
7941,One Night of Love,Victor Schertzinger,24
7942,Viva Villa!,Howard Hawks,24
7943,Viva Villa!,Jack Conway,24
7944,Viva Villa!,William Augustus Wellman,24
7945,Viva Villa!,John Waters,24
7946,Broadway Melody of 1936,W. S. Van Dyke,17
7947,Broadway Melody of 1936,Roy Del Ruth,17
7948,Alice Adams,George Stevens,24
7949,The Story of Louis Pasteur,William Dieterle,25
7950,In Old Chicago,Henry King,25
7951,In Old Chicago,Robert D. Webb,25
7952,Lost Horizon,Frank Capra,34
7953,Lost Horizon,Andrew Marton,34
7954,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay,20
7955,Alexander's Ragtime Band,Henry King,23
7956,Love Affair,Leo McCarey,22
7957,Of Mice and Men,Lewis Milestone,18
7958,Our Town,Sam Wood,21
7959,49th Parallel,Michael Powell,21
7960,Kings Row,Sam Wood,24
7961,The Pied Piper,Percy Stow,15
7962,The Pied Piper,Irving Pichel,15
7963,The More the Merrier,George Stevens,24
7964,Since You Went Away,David O. Selznick,27
7965,Since You Went Away,Edward F. Cline,27
7966,Since You Went Away,Tay Garnett,27
7967,Since You Went Away,John Cromwell,27
7968,Battleground,William Augustus Wellman,25
7969,Mister Roberts,John Ford,25
7970,Mister Roberts,Mervyn LeRoy,25
7971,Mister Roberts,Joshua Logan,25
